image,zoom_mm,volume_ml
IMG_1245.jpeg,22.0,4.0
IMG_1246.jpeg,22.0,4.0
IMG_1247.jpeg,22.0,4.0
IMG_1248.jpeg,22.0,4.0
IMG_1249.jpeg,22.0,4.0
IMG_1250.jpeg,22.0,4.0
IMG_1251.jpeg,22.0,2.0
IMG_1252.jpeg,22.0,2.0
IMG_1253.jpeg,22.0,8.0
IMG_1254.jpeg,22.0,8.0
IMG_1255.jpeg,22.0,2.0
IMG_1256.jpeg,22.0,2.0
IMG_1257.jpeg,22.0,5.0
IMG_1258.jpeg,22.0,5.0
IMG_1259.jpeg,22.0,6.0
IMG_1260.jpeg,22.0,6.0
IMG_1261.jpeg,22.0,9.0
IMG_1263.jpeg,22.0,9.0
IMG_1264.jpeg,22.0,6.0
IMG_1265.jpeg,22.0,6.0
IMG_1266.jpeg,22.0,4.0
IMG_1267.jpeg,22.0,4.0
IMG_1268.jpeg,22.0,5.0
IMG_1269.jpeg,22.0,5.0
IMG_1270.jpeg,22.0,8.0
IMG_1271.jpeg,22.0,8.0
IMG_2515.jpeg,22.0,5.0
IMG_2514.jpeg,22.0,5.0
IMG_2513.jpeg,22.0,8.0
IMG_2512.jpeg,22.0,8.0
IMG_2511.jpeg,22.0,8.0
IMG_2510.jpeg,22.0,8.0
IMG_2509.jpeg,22.0,3.0
IMG_2508.jpeg,22.0,3.0
IMG_2507.jpeg,22.0,5.0
IMG_2506.jpeg,22.0,5.0
IMG_2505.jpeg,22.0,6.0
IMG_1298.jpeg,22.0,6.0
IMG_1299.jpeg,22.0,6.0
IMG_1300.jpeg,22.0,6.0
IMG_1301.jpeg,22.0,5.0
IMG_1302.jpeg,22.0,5.0
IMG_1303.jpeg,22.0,5.0
IMG_1304.jpeg,22.0,3.0
IMG_1305.jpeg,22.0,3.0
IMG_1306.jpeg,22.0,3.0
IMG_1307.jpeg,22.0,6.0
IMG_1308.jpeg,22.0,6.0
IMG_1309.jpeg,22.0,6.0
IMG_1310.jpeg,22.0,4.0
IMG_1311.jpeg,22.0,4.0
IMG_1312.jpeg,22.0,4.0
IMG_1313.jpeg,22.0,5.0
IMG_1314.jpeg,22.0,5.0
IMG_1315.jpeg,22.0,5.0
IMG_1316.jpeg,22.0,3.0
IMG_1317.jpeg,22.0,3.0
IMG_1318.jpeg,22.0,3.0
IMG_1319.jpeg,22.0,7.0
IMG_1320.jpeg,22.0,7.0
IMG_1321.jpeg,22.0,7.0
IMG_1322.jpeg,22.0,5.0
IMG_1323.jpeg,22.0,5.0
IMG_1324.jpeg,22.0,5.0
IMG_1325.jpeg,22.0,5.0
IMG_1326.jpeg,22.0,5.0
IMG_1327.jpeg,22.0,5.0
IMG_1328.jpeg,22.0,5.0
IMG_1329.jpeg,22.0,5.0
IMG_1330.jpeg,22.0,5.0
IMG_1331.jpeg,22.0,4.0
IMG_1332.jpeg,22.0,4.0
IMG_1333.jpeg,22.0,4.0
IMG_1334.jpeg,22.0,1.5
IMG_1335.jpeg,22.0,1.5
IMG_1336.jpeg,22.0,1.5
IMG_1337.jpeg,22.0,3.5
IMG_1338.jpeg,22.0,3.5
IMG_1339.jpeg,22.0,3.5
IMG_1340.jpeg,22.0,5.0
IMG_1341.jpeg,22.0,5.0
IMG_1342.jpeg,22.0,5.0
IMG_1343.jpeg,22.0,4.0
IMG_1344.jpeg,22.0,4.0
IMG_1345.jpeg,22.0,4.0
IMG_1346.jpeg,22.0,6.0
IMG_1347.jpeg,22.0,6.0
IMG_1348.jpeg,22.0,6.0
IMG_1349.jpeg,22.0,3.0
IMG_1350.jpeg,22.0,3.0
IMG_1351.jpeg,22.0,3.0
